index,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,imdb_score
715,Sela Ward,Crime|Drama|Mystery|Thriller,Patrick Fugit,Gone Girl ,Emily Ratajkowski,8.1
716,Josh Hamilton,Action|Mystery|Thriller,Matt Damon,The Bourne Identity ,Nicky Naudé,7.9
717,Joe Don Baker,Action|Adventure|Thriller,Izabella Scorupco,GoldenEye ,Tchéky Karyo,7.2
718,Timothy Hutton,Drama|Mystery|Thriller,Daniel von Bargen,The General's Daughter ,Clarence Williams III,6.3
719,Noah Emmerich,Comedy|Drama|Sci-Fi,Natascha McElhone,The Truman Show ,Peter Krause,8.1
720,Aria Noelle Curzon,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,Martin Short,The Prince of Egypt ,Eden Riegel,7
721,Lisa Edelstein,Comedy|Family,Anjelica Huston,Daddy Day Care ,Jeff Garlin,5.5
722,Patrick Fischler,Action|Comedy|Crime|Drama|Thriller,Denzel Washington,2 Guns ,Fred Ward,6.7
723,Elizabeth Perkins,Action|Comedy|Family|Fantasy,Carol Ann Susi,Cats & Dogs ,Miriam Margolyes,5.2
724,Charlize Theron,Action|Crime|Thriller,Jason Statham,The Italian Job ,Jimmy Shubert,7
725,Alicia Witt,Comedy|Romance,Dorian Missick,Two Weeks Notice ,Dana Ivey,6.1
726,Woody Allen,Adventure|Animation|Comedy|Family,Sylvester Stallone,Antz ,Anne Bancroft,6.6
727,Kristin Davis,Comedy,Jon Favreau,Couples Retreat ,Tasha Smith,5.5
728,Robert Duvall,Action|Drama|Sport,Tom Cruise,Days of Thunder ,Randy Quaid,5.9
729,Tom Welling,Adventure|Comedy|Family,Taylor Lautner,Cheaper by the Dozen 2 ,Alyson Stoner,5.4
730,Lili Taylor,Action|Sci-Fi|Thriller,Ki Hong Lee,The Scorch Trials ,Rosa Salazar,6.4
731,Julia Roberts,Drama|Romance,James Franco,Eat Pray Love ,Billy Crudup,5.7
732,Don Cheadle,Comedy|Drama|Fantasy|Romance,Nicolas Cage,The Family Man ,Amber Valletta,6.7
733,Morgan Freeman,Action|Comedy|Crime|Thriller,Bruce Willis,RED ,Jaqueline Fleming,7.1
734,Dennis Quaid,Drama|Sport,Al Pacino,Any Given Sunday ,LL Cool J,6.8
735,Kristin Scott Thomas,Drama|Romance|Western,Scarlett Johansson,The Horse Whisperer ,Jessalyn Gilsig,6.5
736,Jada Pinkett Smith,Crime|Drama|Thriller,Tom Cruise,Collateral ,Debi Mazar,7.6
737,Roger Rees,Action|Adventure|Fantasy|Thriller,Dwayne Johnson,The Scorpion King ,Bernard Hill,5.5
738,Jay Hernandez,Action|Drama|Thriller,Billy Burke,Ladder 49 ,Jacinda Barrett,6.5
739,Robert Duvall,Action|Crime|Mystery|Thriller,Tom Cruise,Jack Reacher ,David Oyelowo,7
740,Michael Rapaport,Action|Sci-Fi|Thriller,LL Cool J,Deep Blue Sea ,Saffron Burrows,5.8
741,Mekia Cox,Documentary|Music,Misha Gabriel Hamilton,This Is It ,Judith Hill,7.3
742,Monique Gabriela Curnen,Drama|Thriller,Matt Damon,Contagion ,Griffin Kane,6.6
743,Dyan Cannon,Action|Adventure|Comedy|Crime,Estella Warren,Kangaroo Jack ,Bill Hunter,4.4
744,Dawn French,Animation|Family|Fantasy,Jennifer Saunders,Coraline ,John Hodgman,7.7
745,Alan Ruck,Sci-Fi|Thriller,Zooey Deschanel,The Happening ,Kristen Connolly,5
746,Radha Mitchell,Action|Crime|Drama|Thriller,Denzel Washington,Man on Fire ,Giancarlo Giannini,7.7
747,Joel David Moore,Comedy|Family|Fantasy,Robert Downey Jr.,The Shaggy Dog ,Kristin Davis,4.4
748,Carmen Electra,Comedy|Crime,Snoop Dogg,Starsky & Hutch ,Fred Williamson,6.1
749,Harvey Korman,Comedy|Family,Jim Belushi,Jingle All the Way ,Jake Lloyd,5.4
750,Rupert Evans,Action|Fantasy|Horror|Sci-Fi,James Babson,Hellboy ,Brian Steele,6.8
751,Kathleen Quinlan,Drama,Robert Duvall,A Civil Action ,Sydney Pollack,6.5
752,Kodi Smit-McPhee,Adventure|Animation|Comedy|Family|Fantasy,Anna Kendrick,ParaNorman ,Elaine Stritch,7
753,Bruce Willis,Action|Adventure|Crime|Thriller,J.K. Simmons,The Jackal ,Sophie Okonedo,6.3
754,Joe Morton,Action|Mystery|Sci-Fi|Thriller,Ivana Milicevic,Paycheck ,Callum Rennie,6.3
755,Stockard Channing,Drama|Romance,Joe Mantegna,Up Close & Personal ,Raymond Cruz,6.1
756,Matthew Broderick,Adventure|Animation|Comedy|Family|Fantasy,Emma Watson,The Tale of Despereaux ,Frank Langella,6.1
757,Oliver Hudson,Comedy|Romance,Bianca Kajlich,Rules of Engagement             ,Adhir Kalyan,7.3
758,Debi Mazar,Action|Comedy|Sci-Fi,Romany Malco,The Tuxedo ,Ritchie Coster,5.3
759,Brenda Bakke,Action|Thriller,Peter Greene,Under Siege 2: Dark Territory ,Patrick Kilpatrick,5.4
760,Nonso Anozie,Action|Drama|Thriller,Colm Feore,Jack Ryan: Shadow Recruit ,Gemma Chan,6.2
761,Robert De Niro,Biography|Comedy|Drama,Jennifer Lawrence,Joy ,Bradley Cooper,6.6
762,Radha Mitchell,Action|Crime|Drama|Thriller,Gerard Butler,London Has Fallen ,Julian Kostov,5.9
763,Michael Wincott,Action|Horror|Sci-Fi,Gary Dourdan,Alien: Resurrection ,Raymond Cruz,6.3
764,Ned Beatty,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,Shooter ,Louis Ferreira,7.2
765,Dee Bradley Baker,Adventure|Animation|Comedy|Family|Fantasy,Isaac Hempstead Wright,The Boxtrolls ,Tracy Morgan,6.8
766,Dianne Wiest,Comedy|Drama|Fantasy|Romance,Goran Visnjic,Practical Magic ,Stockard Channing,6.1
767,Will Ferrell,Action|Adventure|Animation|Comedy|Family|Fantasy,Morgan Freeman,The Lego Movie ,Alison Brie,7.8
768,Diedrich Bader,Action|Comedy|Crime,Eileen Brennan,Miss Congeniality 2: Armed and Fabulous ,Treat Williams,5
769,Gerard Butler,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christian Bale,Reign of Fire ,Matthew McConaughey,6.2
770,Brandon Molale,Action|Crime|Drama|Thriller,Ryan Gosling,Gangster Squad ,Wade Williams,6.7
771,Oliver Platt,Adventure|Comedy,Olivia Wilde,Year One ,Xander Berkeley,4.9
772,Morgan Freeman,Biography|Drama|History|Sport,Matt Damon,Invictus ,Leleti Khumalo,7.4
773,Harry Lennix,Crime|Drama|Mystery|Thriller,Robin Wright,State of Play ,Michael Weston,7.1
774,Tom Wilkinson,Comedy|Crime|Romance|Thriller,Julia Roberts,Duplicity ,Denis O'Hare,6.2
775,Ray Walston,Comedy|Family|Sci-Fi,Steven Anthony Lawrence,My Favorite Martian ,Michael Lerner,4.9
776,David Rasche,Action|Crime|Thriller,Blair Brown,The Sentinel ,Martin Donovan,6.1
777,Gary Oldman,Adventure|Animation|Comedy|Family|Sci-Fi,Dwayne Johnson,Planet 51 ,James Corden,6.1
778,LeVar Burton,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,Star Trek: Nemesis ,Jonathan Frakes,6.4
779,Paul Adelstein,Comedy|Crime|Romance,Cedric the Entertainer,Intolerable Cruelty ,Julia Duffy,6.3
780,Ed Lauter,Drama|Sport,Clint Eastwood,Trouble with the Curve ,Bob Gunton,6.8
781,Ray Winstone,Crime|Drama|Mystery|Thriller,Bojana Novakovic,Edge of Darkness ,Denis O'Hare,6.6
782,Penelope Ann Miller,Horror|Mystery|Sci-Fi|Thriller,John Kapelos,The Relic ,Chi Muoi Lo,5.7
783,Cathy Moriarty,Comedy|Crime,Robert De Niro,Analyze That ,Joe Viterelli,5.9
784,Al Pacino,Action|Crime|Drama|Mystery|Thriller,Robert De Niro,Righteous Kill ,50 Cent,6
785,Miko Hughes,Action|Crime|Drama|Thriller,Bruce Willis,Mercury Rising ,Carrie Preston,6.1
786,Stephen Root,Biography|Drama|Music,Robert Downey Jr.,The Soloist ,Rachael Harris,6.7
787,Will Smith,Drama|Fantasy|Sport,Matt Damon,The Legend of Bagger Vance ,Charlize Theron,6.7
788,Zooey Deschanel,Adventure|Comedy|Drama|Music,Philip Seymour Hoffman,Almost Famous ,Michael Angarano,7.9
789,Roger Rees,Animation|Comedy|Family|Fantasy,Bill Murray,Garfield 2 ,Ben Falcone,5
790,Nona Gaye,Action|Adventure|Crime|Thriller,Sunny Mabrey,xXx: State of the Union ,Xzibit,4.3
791,Alan Dale,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,Priest ,Jacob Hopkins,5.7
792,Adriano Giannini,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,Brad Pitt,Sinbad: Legend of the Seven Seas ,Timothy West,6.7
793,Joely Richardson,Horror|Sci-Fi|Thriller,Sean Pertwee,Event Horizon ,Kathleen Quinlan,6.7
794,Robert Downey Jr.,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers ,Scarlett Johansson,8.1
795,Susanna Thompson,Drama|Fantasy|Mystery|Romance|Thriller,Joe Morton,Dragonfly ,Matt Craven,6.1
796,Mia Kirshner,Crime|Drama|Mystery|Thriller,Scarlett Johansson,The Black Dahlia ,Mike Starr,5.6
797,Tyler Labine,Action|Adventure|Drama|History|Romance|War,James Franco,Flyboys ,Philip Winchester,6.6
798,Delroy Lindo,Action|Drama|Thriller,Clifton Collins Jr.,The Last Castle ,Michael Irby,6.9
799,Wilson Cruz,Horror|Sci-Fi|Thriller,Robert Forster,Supernova ,Vanessa Marshall,4.8
800,William Hurt,Drama|Fantasy|Mystery|Romance,Matt Bomer,Winter's Tale ,Kevin Corrigan,6.2
801,Kevin Zegers,Fantasy|Horror|Mystery|Romance,Aidan Turner,The Mortal Instruments: City of Bones ,CCH Pounder,6
802,Mike O'Malley,Adventure|Comedy|Family|Romance|Sci-Fi,Marc Blucas,Meet Dave ,Shawn Christian,4.9
803,Camryn Manheim,Drama|Horror|Thriller,Dougray Scott,Dark Water ,Ariel Gade,5.6
804,Adam Goldberg,Comedy|Drama,Matthew McConaughey,Edtv ,Clint Howard,6.1
805,Stephen Graham,Adventure|Family|Fantasy,Brendan Fraser,Inkheart ,Jamie Foreman,6.1
806,Jaime King,Action|Crime|Fantasy|Thriller,Scarlett Johansson,The Spirit ,Louis Lombardi,4.8
807,Olivia Munn,Action|Comedy|Mystery|Romance,Johnny Depp,Mortdecai ,Ulrich Thomsen,5.5
808,Mike Dopud,Action|Adventure|Fantasy|Thriller,Jason Statham,In the Name of the King: A Dungeon Siege Tale ,Tania Saulnier,3.8
809,Teri Polo,Adventure|Drama|Romance|War,Angelina Jolie Pitt,Beyond Borders ,Noah Emmerich,6.5
810,Aaron Kwok,Action|Adventure|Fantasy,Li Gong,Xi you ji zhi: Sun Wukong san da Baigu Jing ,Eddie Peng,6
811,Clayne Crawford,Action|Drama|War,James Franco,The Great Raid ,Paolo Montalban,6.7
812,Ed Skrein,Action|Adventure|Comedy|Romance|Sci-Fi,Ryan Reynolds,Deadpool ,Stefan Kapicic,8.1
813,Morgan Fairchild,Comedy|Drama,Kelly Preston,Holy Man ,Eric McCormack,4.9
814,Leonard Roberts,Action|Biography|Drama|History|Thriller|War,Bradley Cooper,American Sniper ,Keir O'Donnell,7.3
815,Dylan Minnette,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,Goosebumps ,Ken Marino,6.4
816,Soleil Moon Frye,Comedy|Family|Fantasy,Nate Richert,"Sabrina, the Teenage Witch             ",Caroline Rhea,6.6
817,Ivana Milicevic,Comedy|Fantasy|Romance,Jon Heder,Just Like Heaven ,Willie Garson,6.7
818,Mark Addy,Comedy|Family|Romance|Sci-Fi,Taylor Negron,The Flintstones in Viva Rock Vegas ,Danny Woodburn,3.6
819,Kurtwood Smith,Action|Adventure|Thriller|War,Sylvester Stallone,Rambo III ,Richard Crenna,5.7
820,Malcolm Goodwin,Comedy|Drama|Romance|Sport,Robert Baker,Leatherheads ,Matt Bushell,6
821,Adam Sandler,Comedy|Western,Taylor Lautner,The Ridiculous 6 ,Jon Lovitz,4.9
822,Kim Shaw,Comedy|Drama|Romance,Michael Kelly,Did You Hear About the Morgans? ,Kevin Brown,4.7
823,Jessica Szohr,Comedy,Josh Gad,The Internship ,Rob Riggle,6.3
824,Boris Kodjoe,Action|Adventure|Horror|Sci-Fi,Milla Jovovich,Resident Evil: Afterlife ,Shawn Roberts,5.9
825,Nate Parker,Action|Adventure|Drama|History|War,David Oyelowo,Red Tails ,Tristan Mack Wilds,5.9
826,Kristin Davis,Comedy|Romance,Chris Noth,Sex and the City             ,Cynthia Nixon,7
827,Al Pacino,Drama|Mystery|Thriller,Keanu Reeves,The Devil's Advocate ,Charlize Theron,7.5
828,Leighton Meester,Comedy,Adam Sandler,That's My Boy ,Will Forte,5.6
829,Brian Thompson,Action|Adventure|Fantasy,Dennis Quaid,DragonHeart ,Terry O'Neill,6.4
830,Don Cheadle,Action|Comedy|Crime|Drama,Salma Hayek,After the Sunset ,Chris Penn,6.3
831,Spencer Wilding,Action|Fantasy|Thriller,Nicolas Cage,Ghost Rider: Spirit of Vengeance ,Christopher Lambert,4.3
832,Irene Papas,Drama|Music|Romance|War,Christian Bale,Captain Corelli's Mandolin ,Mihalis Giannatos,5.9
833,Noureen DeWulf,Comedy|Romance,Barry Corbin,Anger Management             ,Brian Austin Green,6.7
834,Brad Garrett,Action|Comedy|Drama|Family|Thriller,Vin Diesel,The Pacifier ,Tate Donovan,5.5
835,Ashley Scott,Action|Crime,Dwayne Johnson,Walking Tall ,Michael Bowen,6.2
836,Siobhan Fallon Hogan,Comedy|Drama,Tom Hanks,Forrest Gump ,Sam Anderson,8.8
837,Beth Riesgraf,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,Alvin and the Chipmunks ,Matthew Gray Gubler,5.2
838,Blythe Danner,Comedy,Robert De Niro,Meet the Parents ,Teri Polo,7
839,Frank Welker,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,Pocahontas ,Irene Bedard,6.6
840,Margot Kidder,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,Superman ,Ned Beatty,7.3
841,James Coburn,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,The Nutty Professor ,Dave Chappelle,5.6
842,Michael Rapaport,Comedy|Romance,Will Smith,Hitch ,Kevin Sussman,6.6
843,Abraham Benrubi,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,George of the Jungle ,Holland Taylor,5.4
844,Thomas Ian Nicholas,Comedy|Romance,Alyson Hannigan,American Wedding ,Fred Willard,6.3
845,Chris Mulkey,Biography|Drama|Thriller,Tom Hanks,Captain Phillips ,Michael Chernus,7.9
846,James Franco,Comedy|Crime|Romance|Thriller,Mila Kunis,Date Night ,Steve Carell,6.3
847,Fred Rogers,Comedy|Family|Fantasy,Eric Idle,Casper ,Cathy Moriarty,6
848,Chloë Grace Moretz,Action|Crime|Thriller,Denzel Washington,The Equalizer ,James Wilcox,7.2
849,Frances Conroy,Comedy|Drama|Romance,Bob Hoskins,Maid in Manhattan ,Natasha Richardson,5.1
850,Viggo Mortensen,Action|Drama|Thriller|War,Denzel Washington,Crimson Tide ,Ricky Schroder,7.3
851,Kurt Fuller,Biography|Drama,Will Smith,The Pursuit of Happyness ,James Karen,8
852,Michael Irby,Drama|Mystery|Thriller,Erika Christensen,Flightplan ,Haley Ramm,6.2
853,Dylan Baker,Drama|Thriller,Demi Moore,Disclosure ,Roma Maffia,6
854,Andre Braugher,Drama|Fantasy|Romance,Nicolas Cage,City of Angels ,Colm Feore,6.7
855,Vivica A. Fox,Action,David Carradine,Kill Bill: Vol. 1 ,Chiaki Kuriyama,8.1
856,Adam Alexi-Malle,Comedy,Robert Downey Jr.,Bowfinger ,Jamie Kennedy,6.4
857,Don S. Davis,Action|Adventure|Drama|Sci-Fi,Christopher Judge,Stargate SG-1             ,Gary Jones,8.4
858,Michael Parks,Action|Crime|Drama|Thriller,Vivica A. Fox,Kill Bill: Vol. 2 ,Michael Bowen,8
859,Jack Palance,Action|Comedy|Crime|Thriller,Sylvester Stallone,Tango & Cash ,Brion James,6.3
860,Meryl Streep,Comedy|Fantasy|Horror,Bruce Willis,Death Becomes Her ,Isabella Rossellini,6.4
861,Jason Connery,Action|Adventure|Comedy|Western,Xander Berkeley,Shanghai Noon ,Kate Luyben,6.6
862,Joe Morton,Action|Adventure|Thriller,Oliver Platt,Executive Decision ,J.T. Walsh,6.4
863,Ophelia Lovibond,Comedy|Family|Fantasy,Madeline Carroll,Mr. Popper's Penguins ,Philip Baker Hall,6
864,Thomas McDonell,Action|Adventure|Fantasy,Jet Li,The Forbidden Kingdom ,Michael Angarano,6.6
865,Carlos Ponce,Adventure|Animation|Comedy|Family,Amy Poehler,Free Birds ,Dan Fogler,5.9
866,Holt McCallany,Action|Horror|Sci-Fi,Charles S. Dutton,Alien 3 ,Paul McGann,6.4
867,Jimmy Nail,Biography|Drama|History|Musical,Andrea Corr,Evita ,Peter Polycarpou,6.3
868,Natascha McElhone,Action|Adventure|Crime|Thriller,Robert De Niro,Ronin ,Michael Lonsdale,7.3
869,Bernard Hill,Adventure|Drama|Horror|Thriller,Tom Wilkinson,The Ghost and the Darkness ,Om Puri,6.8
870,Matt Lucas,Animation|Comedy|Family|Fantasy,Julie Walters,Paddington ,Sally Hawkins,7.2
871,Nicholas Braun,Action|Comedy|Sci-Fi,Will Forte,The Watch ,Rosemarie DeWitt,5.7
872,Jenna Boyd,Action|Crime|Drama|Thriller,Connie Nielsen,The Hunted ,Rex Linn,6
873,Maura Tierney,Drama|Thriller,Anthony Hopkins,Instinct ,John Ashton,6.5
874,Terence Bernie Hines,Comedy,Matt Damon,Stuck on You ,Seymour Cassel,5.8
875,Maura Tierney,Comedy|Sport,Will Ferrell,Semi-Pro ,Matt Walsh,5.8
876,Russell Tovey,Adventure|Animation|Comedy|Family,Salma Hayek,The Pirates! Band of Misfits ,Brian Blessed,6.7
877,Michael Kelly,Crime|Drama|Mystery|Thriller,Angelina Jolie Pitt,Changeling ,Colm Feore,7.8
878,Morgan Freeman,Action|Drama|Sci-Fi|Thriller,Keanu Reeves,Chain Reaction ,Kevin Dunn,5.6
879,Kurt Fuller,Action|Drama|Sport|Thriller,Robert De Niro,The Fan ,Ellen Barkin,5.8
880,Minnie Driver,Drama|Musical|Romance|Thriller,Gerard Butler,The Phantom of the Opera ,Miranda Richardson,7.4
881,Abbie Cornish,Biography|Drama|History|War,Eddie Redmayne,Elizabeth: The Golden Age ,Jordi Mollà,6.9
882,Sophie Okonedo,Action|Sci-Fi,Charlize Theron,Æon Flux ,Paterson Joseph,5.5
883,Bruce Boxleitner,Drama|History|War,Billy Campbell,Gods and Generals ,John Castle,6.3
884,Lauren Holly,Action|Thriller,Hector Elizondo,Turbulence ,Jeffrey DeMunn,4.7
885,Ronny Cox,Comedy|Drama|Family|Fantasy,Stephen Root,Imagine That ,Richard Schiff,5.6
886,Tina Fey,Adventure|Comedy|Crime|Family|Musical,Ty Burrell,Muppets Most Wanted ,Hugh Bonneville,6.4
887,Philip Winchester,Action|Adventure|Comedy|Family|Sci-Fi,Sophia Myles,Thunderbirds ,Brady Corbet,4.2
888,Peter Gallagher,Drama|Music|Musical|Romance,Eric Dane,Burlesque ,David Walton,6.4
889,André Dussollier,Drama|Mystery|Romance|War,Denis Lavant,A Very Long Engagement ,Albert Dupontel,7.7
890,Shelley Winters,Crime|Drama|Romance,James Mason,Lolita ,Lois Maxwell,7.7
891,Tom Berenger,Crime|Horror|Mystery|Thriller,Sylvester Stallone,Eye See You ,Charles S. Dutton,5.3
892,Thomas Kretschmann,Action|Horror|Sci-Fi|Thriller,Norman Reedus,Blade II ,Tony Curran,6.7
893,Rosario Dawson,Drama|Romance,Will Smith,Seven Pounds ,Madison Pettis,7.7
894,Jason Momoa,Action|Thriller,Sylvester Stallone,Bullet to the Head ,Jon Seda,5.7
895,Joe Mantegna,Crime|Drama,Al Pacino,The Godfather: Part III ,Bridget Fonda,7.6
896,Kirsten Dunst,Comedy|Drama|Romance,Orlando Bloom,Elizabethtown ,Judy Greer,6.4
897,Billy Gardell,Comedy|Romance,Todd Stashwick,"You, Me and Dupree ",Amanda Detmer,5.6
898,Ned Beatty,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Superman II ,Jackie Cooper,6.8
899,Lenny Venito,Comedy|Crime|Romance,Todd Giebenhain,Gigli ,David Backus,2.4
900,Anthony Hopkins,Drama|Thriller,Kate Winslet,All the King's Men ,Kevin Dunn,6.2
901,Vanessa Williams,Action|Crime|Thriller,Christian Bale,Shaft ,Daniel von Bargen,5.9
902,Kelsey Grammer,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,Kirsten Dunst,Anastasia ,Bernadette Peters,7.1
903,Kylie Minogue,Drama|Musical|Romance,Jim Broadbent,Moulin Rouge! ,Richard Roxburgh,7.6
904,Teri Polo,Crime|Mystery|Thriller,Steve Buscemi,Domestic Disturbance ,Matt O'Leary,5.5
905,Benedict Cumberbatch,Biography|Crime|Drama,Johnny Depp,Black Mass ,Adam Scott,7
906,Chris Bauer,Drama|History|War,Paul Walker,Flags of Our Fathers ,Tom McCarthy,7.1
907,Leslie Bibb,Crime|Drama|Thriller,Gerard Butler,Law Abiding Citizen ,Michael Kelly,7.4
908,Rosario Dawson,Action|Horror|Thriller,Quentin Tarantino,Grindhouse ,Zoë Bell,7.6
909,Kimberly Elise,Drama|History|Horror,Oprah Winfrey,Beloved ,Hill Harper,5.9
910,Robert Duvall,Drama|Romance|Sport,Robert Downey Jr.,Lucky You ,Kelvin Han Yee,5.9
911,Tom Hanks,Biography|Crime|Drama,Leonardo DiCaprio,Catch Me If You Can ,Jennifer Garner,8
912,Harold Perrineau,Drama|History|Thriller,Jennifer Ehle,Zero Dark Thirty ,Parker Sawyers,7.4
913,John Michael Higgins,Comedy|Drama|Romance,Jon Favreau,The Break-Up ,Ann-Margret,5.8
914,Meryl Streep,Comedy|Family|Musical|Romance,Colin Firth,Mamma Mia! ,Julie Walters,6.3
915,Taylor Lautner,Comedy|Romance,Bradley Cooper,Valentine's Day ,Anne Hathaway,5.7
916,Jessica Simpson,Action|Adventure|Comedy,Alice Greczyn,The Dukes of Hazzard ,Michael Weston,5.1
917,Miranda Otto,Drama|War,Nick Stahl,The Thin Red Line ,Dash Mihok,7.6
918,Olivia Wilde,Comedy|Fantasy,Ryan Reynolds,The Change-Up ,Mircea Monroe,6.4
919,Gerry Becker,Biography|Comedy|Drama,Matt Price,Man on the Moon ,Tom Dreesen,7.4
920,Don Rickles,Biography|Crime|Drama,Robert De Niro,Casino ,Kevin Pollak,8.2
921,Amber Rose Revah,Action|Thriller,Kasia Smutniak,From Paris with Love ,Rebecca Dayan,6.5
922,Mako,Action|Comedy|Fantasy,Jaime King,Bulletproof Monk ,Victoria Smurfit,5.5
923,Tony Cox,Comedy,Robert Forster,"Me, Myself & Irene ",Rob Moran,6.5
924,Wanda Sykes,Animation|Comedy|Family,Rob Paulsen,Barnyard ,Maurice LaMarche,5.6
925,Jorge Garcia,Comedy|Family,Matthew Broderick,Deck the Halls ,Alia Shawkat,4.9
926,Kristen Stewart,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: New Moon ,Taylor Lautner,4.6
927,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,Kathleen Freeman,Shrek ,Bobby Block,7.9
928,Michael Kelly,Romance|Sci-Fi|Thriller,Matt Damon,The Adjustment Bureau ,Jon Stewart,7.1
929,Morgan Freeman,Action|Adventure|Drama|Romance,Alan Rickman,Robin Hood: Prince of Thieves ,Michael Wincott,6.9
930,Kelly Preston,Comedy|Drama|Romance|Sport,Tom Cruise,Jerry Maguire ,Bonnie Hunt,7.3
931,Seth MacFarlane,Comedy|Fantasy,Mila Kunis,Ted ,Tom Skerritt,7
932,Yeardley Smith,Comedy|Drama|Romance,Lupe Ontiveros,As Good as It Gets ,Shirley Knight,7.7
933,Philip Seymour Hoffman,Biography|Comedy|Drama|Romance,Robin Williams,Patch Adams ,Monica Potter,6.7
934,Will Ferrell,Comedy,Harrison Ford,Anchorman 2: The Legend Continues ,Steve Carell,6.3
935,Adam Sandler,Comedy|Romance,Steve Buscemi,Mr. Deeds ,Peter Gallagher,5.8
936,AJ Michalka,Mystery|Sci-Fi|Thriller,Joel Courtney,Super 8 ,Zach Mills,7.1
937,Albert Finney,Biography|Drama,Julia Roberts,Erin Brockovich ,Conchata Ferrell,7.3
938,Adam Goldberg,Comedy|Romance,Matthew McConaughey,How to Lose a Guy in 10 Days ,Thomas Lennon,6.4
939,Craig Roberts,Action|Comedy|Crime,Channing Tatum,22 Jump Street ,Amber Stevens West,7.1
940,Tom Cruise,Drama|Fantasy|Horror,Brad Pitt,Interview with the Vampire: The Vampire Chronicles ,Kirsten Dunst,7.6
941,Zooey Deschanel,Comedy|Romance,Bradley Cooper,Yes Man ,Danny Masterson,6.8
942,Thomas Kretschmann,Action|Comedy|Crime,Dwayne Johnson,Central Intelligence ,Megan Park,6.6
943,Liam Aiken,Comedy|Drama,Julia Roberts,Stepmom ,Herbert Russell,6.7
944,Linda Cardellini,Comedy|Family,Will Ferrell,Daddy's Home ,Mark L. Young,6.1
945,Meryl Streep,Adventure|Comedy|Drama|Fantasy|Musical,Johnny Depp,Into the Woods ,Anna Kendrick,6
946,James Ransone,Crime|Drama|Mystery|Thriller,Denzel Washington,Inside Man ,Peter Gerety,7.6
947,Deborah Kara Unger,Action|Crime|Drama|Thriller,Bill Duke,Payback ,William Devane,7.1
948,Joe Don Baker,Action|Adventure|Mystery|Sci-Fi,Dylan Walsh,Congo ,Grant Heslov,5
949,Matt Damon,Comedy|Drama|Family,Scarlett Johansson,We Bought a Zoo ,Stephanie Szostak,7.1
950,Ben Mendelsohn,Drama|Mystery|Sci-Fi|Thriller,Nicolas Cage,Knowing ,Chandler Canterbury,6.2
951,Matthew McConaughey,Comedy|Romance,Bradley Cooper,Failure to Launch ,Zooey Deschanel,5.6
952,Gary Cole,Horror|Mystery,Naomi Watts,The Ring Two ,Sissy Spacek,5.4
953,Emma Stone,Comedy|Drama|Romance,Ryan Gosling,"Crazy, Stupid, Love. ",Steve Carell,7.4
954,Mark Christopher Lawrence,Animation|Comedy|Family|Fantasy,Bill Murray,Garfield ,Michael Monks,5
955,Cheech Marin,Comedy|Family,Jamie Lee Curtis,Christmas with the Kranks ,Jake Busey,5.2
956,Robin Wright,Biography|Drama|Sport,Philip Seymour Hoffman,Moneyball ,Brad Pitt,7.6
957,Morgan Freeman,Action|Drama|Thriller,Kevin Spacey,Outbreak ,Rene Russo,6.6
958,Nate Parker,Action|Mystery|Thriller,Liam Neeson,Non-Stop ,Scoot McNairy,7
959,Billy Brown,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Dwayne Johnson,Race to Witch Mountain ,Tom Everett Scott,5.7
960,Eddie Marsan,Action|Drama|Thriller,Natalie Portman,V for Vendetta ,Rupert Graves,8.2
961,Anna-Louise Plowman,Action|Adventure|Comedy,Fann Wong,Shanghai Knights ,Georgina Chapman,6.2
962,Gemma Jones,Crime|Drama,Bernard Hill,Unforgotten             ,Nicola Walker,7.9
963,Frank Welker,Adventure|Animation|Comedy|Family,Will Ferrell,Curious George ,Alexander Gould,6.6
964,Thomas Lennon,Adventure|Comedy|Family|Fantasy|Romance|Sport,Scoot McNairy,Herbie Fully Loaded ,Cheryl Hines,4.7
965,Jennifer Esposito,Crime|Drama|Mystery|Thriller,Oliver Platt,Don't Say a Word ,Conrad Goode,6.3
